id,question,answer_1,answer_2,answer_3,solution
7066,Se il pilota intraprende la corsa di decollo con il deltaplano molto cabrato:,il decollo avviene prima ed è possibile sorvolare con più margine eventuali ostacoli sulla traiettoria.,il decollo avviene a velocità più bassa ed è più semplice il controllo del deltaplano dopo il decollo.,"il decollo avviene con incidenza troppo elevata, la traiettoria che ne risulta è ripida ed è alto il rischio di stallo.",3
7067,È possibile l’interruzione di decollo in deltaplano e quali rischi comporta eventualmente?,"Si, solo in caso di estrema necessità, con alta probabilità di danni alla struttura e conseguenze per il pilota.","Si, ogniqualvolta lo si ritenga necessario senza particolari problematiche se si conosce e si applica la tecnica corretta.","Si, purché non la si effettui quando si è prossimi allo stacco e si abbia una discreta esperienza.",1
7068,Quando è opportuno che il pilota si sistemi nell’imbrago dopo il decollo in deltaplano?,Il più presto possibile dopo lo stacco.,"Acquisito il completo controllo della velocità e della direzione, lontano dal pendio.",Non esistono limitazioni o tecniche particolari per sistemarsi nell’imbrago.,2
7069,Come si può variare l’angolo d’incidenza in volo con il deltaplano?,Solo agendo sul dispositivo chiamato “overdrive”.,"Appoggiando il peso del pilota sulla barra, indi spingendola o trazionandola.",Agendo sulla barra di controllo con movimenti di spinta o trazione.,3
7070,Individuare la corretta sequenza per effettuare una virata in deltaplano:,"presa di velocità, spostamento laterale del corpo rispetto alla barra parallelamente alla chiglia, spinta sulla barra per coordinare la virata, riposizionamento del corpo in posizione centrata rispetto alla barra.","presa di velocità, spostamento laterale del corpo rispetto alla barra parallelamente alla chiglia, riposizionamento del corpo in posizione centrata rispetto alla barra.","presa di velocità, spinta asimmetrica per ottenere una rotazione del deltaplano attorno all’asse verticale, contemporaneo spostamento laterale del corpo rispetto alla barra, riposizionamento del corpo in posizione centrata rispetto alla barra.",1
7071,Quale errore di manovra causa generalmente una scivolata d’ala del deltaplano?,Mancata coordinazione dei movimenti durante l’esecuzione di una virata.,Mancata coordinazione dei movimenti ed insufficiente spinta sulla barra durante l’esecuzione di una virata.,Eccessiva spinta sulla barra durante una virata.,2
7072,Come si esegue il controllo di rollio in deltaplano?,Facendo semplicemente ruotare l’asse del corpo rispetto alla barra.,Spostando lateralmente il corpo e facendo nello stesso tempo ruotare il suo asse rispetto alla barra.,"Spostando lateralmente il corpo rispetto alla barra, sempre mantenendolo parallelo alla chiglia.",3
7073,Un ala rigida vira:,grazie all’azione di comandi aerodinamici oltreché allo spostamento del peso.,grazie all’azione dei comandi aerodinamici.,grazie allo spostamento del peso.,1
7074,"A distanza di sicurezza dal terreno, come si esegue correttamente una prova di stallo in deltaplano?",Si spinge dolcemente e gradualmente sulla barra per aumentare l’angolo di incidenza sino allo stallo ed a stallo avvenuto si ottiene la rimessa riaumentando la velocità al mezzo.,"Si spinge in avanti sui montanti per ottenere angoli d’incidenza più elevati, e si mantiene questa posizione per almeno 30 secondi.",Dopo adeguata presa di velocità si spinge sulla barra con decisione e rapidità per ottenere un brusco aumento dell’incidenza.,1
7075,Come deve comportarsi il pilota di deltaplano una volta entrato in termica se vuole sfruttarla?,Mantenere il regime di minimo tasso di caduta ed effettuare delle virate di 360° per rimanere in termica.,Mantenere il regime di massima efficienza ed effettuare delle virate di 360° per rimanere in termica.,Mantenere sempre la minima velocità possibile ed effettuare delle virate accentuate di 360° per rimanere in termica.,1
7076,Cosa è il tumbling?,È un manovra acrobatica.,È una manovra di discesa rapida.,È un rovesciamento in avanti del delta che si ha a seguito di fortissime turbolenze quali quelle dovute ai rotori.,3
7077,Come è possibile intervenire per aumentare la velocità di trim del deltaplano?,Spostando indietro il punto di aggancio del pilota rispetto alla struttura.,Spostando in avanti il punto di aggancio del pilota rispetto alla struttura.,Spostando in alto il punto di aggancio del pilota rispetto alla struttura.,2
7078,La corretta sequenza in finale per l’atterraggio con il deltaplano in condizioni di vento moderato è:,"raccordare adeguatamente in prossimità del suolo, mantenendo una traiettoria orizzontale sino al momento di “aprire” per stallare il deltaplano alla minima velocità di sostentamento possibile.","raccordare adeguatamente a 4 o 5 metri dal suolo, mantenendo poi una traiettoria lievemente picchiata sino al momento di “aprire” per stallare il deltaplano ad una velocità ancora ben superiore alla minima di sostentamento.","raccordare adeguatamente in prossimità del suolo, mantenendo una traiettoria orizzontale sino in prossimità del punto di contatto prestabilito quindi “aprire” con decisione per stallare il deltaplano, indipendentemente dalla velocità raggiunta.",1
7079,In quale momento ci si porta in posizione verticale per atterrare in deltaplano?,Appena si avverte che il deltaplano risente dell’effetto suolo dopo aver raccordato in finale per l’atterraggio.,"In finale per l’atterraggio, durante la fase di raccordo in prossimità del suolo, prima di “aprire” per stallare il deltaplano.",Più tardi possibile durante l’apertura per stallare il deltaplano.,2
8001,È più preoccupante un taglio sulla superficie del parapendio in corrispondenza:,della parte anteriore centrale dell’estradosso.,della parte posteriore laterale dell’estradosso.,della parte posteriore laterale dell’intradosso.,1
8002,I cordini del parapendio devono essere di materiale:,più elastico possibile.,più anelastico e resistente possibile.,più resistente possibile indipendentemente dall’elasticità.,2
8003,Durante il volo in parapendio sono sottoposti al maggior carico i cordini:,anteriori.,posteriori.,laterali.,1
8004,Il parapendio è generalmente fabbricato con materiale “rip-stop”. Che cosa significa?,"Che il tessuto stesso non può strapparsi, ma solo tagliarsi.",Che un eventuale taglio o strappo nel tessuto ha molte probabilità di estendersi pericolosamente.,Che un eventuale taglio o strappo nel tessuto ha poche probabilità di estendersi pericolosamente.,3
8005,Il tessuto con cui è generalmente costruito un parapendio deve essere:,"resistente all’usura, molto elastico e gas permeabile.","resistente all’usura, anelastico e gas permeabile.","resistente all’usura, anelastico e non gas permeabile.",3
8006,Quali agenti esterni danneggiano maggiormente il tessuto di un parapendio rendendolo fragile e gas-permeabile?,I raggi ultravioletti e l’umidità.,I raggi infrarossi e l’umidità.,I raggi infrarossi ed il caldo secco.,1
8007,Se il tessuto di un parapendio è divenuto poroso:,risulta compromesso solo il suo aspetto.,risultano un poco degradate solo le sue prestazioni.,risultano degradate le sue prestazioni e compromessa la sua affidabilità.,3
8008,Dovendo riporre un parapendio si avrà cura di farlo:,"solo se la vela è asciutta ed in luogo secco, lontano da fonti di calore ed al riparo dalla luce solare.","solo se la vela è asciutta, in ambiente moderatamente umido e caldo, al riparo dalla luce solare.","anche se è un poco umido, purché in luogo caldo, lasciando il sacco contenitore aperto onde consentire all’umidità di evaporare.",1
8009,"Il cordino di un parapendio è rimasto impigliato ed il kevlar che ne costituisce l’anima è ora privo di rivestimento, ma integro:",provvisoriamente lo accorciamo annodandolo per evitare che la parte scoperta sia soggetta a trazione.,provvisoriamente lo rivestiamo con nastro isolante onde evitare di esporre alla luce il tratto di kevlar scoperto.,provvisoriamente aggiungiamo con opportuni nodi un altro pezzo di cordino al tratto scoperto per creare un rinforzo.,2
8010,Decidiamo di sostituire i maillons dell’imbrago con moschettoni. Avremo cura di:,verificare che questi ultimi siano omologati e provvisti di ghiera a vite o a scatto.,verificare che questi ultimi siano montati correttamente.,usare moschettoni di tipo leggero per non appesantire l’imbrago stesso.,1
8011,Che cosa è necessario verificare in corrispondenza di piombature di cavi e tiranti del deltaplano?,Che i cavi ed i tiranti non siano rotti sotto la piombatura.,Che le piombature siano semplicemente in buono stato.,Che le piombature siano in buono stato ed i cavi o tiranti non presentino segni di logoramento in vicinanza delle piombature stesse.,3
8012,Se ci accorgiamo che qualche tirante del deltaplano è sfilacciato o logoro:,lo sostituiamo immediatamente prima di riandare in volo.,lo ripariamo alla meglio non potendolo sostituire immediatamente.,andiamo in volo facendo attenzione a non sollecitare la struttura con particolari manovre.,1
8013,Durante l’ultimo volo in deltaplano abbiamo effettuato un atterraggio pesante. Il cross bar ed un montante si sono piegati:,riandiamo in volo avendo sostituito il montante e raddrizzato perfettamente il cross bar.,riandiamo in volo solo dopo aver sostituito il montante ed il cross bar con ricambi originali.,riandiamo in volo avendo raddrizzato perfettamente montante e cross bar.,2
8014,Il materiale di cui sono rivestite le superfici di un deltaplano si deteriora particolarmente se esposto a lungo a:,raggi infrarossi.,raggi ultravioletti.,clima particolarmente secco.,2
8015,Se si deve riporre il deltaplano per un lungo periodo dovremo aver cura di:,"farlo in apposita sacca quando siamo certi che è perfettamente asciutto, sistemandolo in luogo meno umido possibile, lontano dalla luce del sole e da fonti di calore.","sistemarlo in apposita sacca dopo aver effettuato l’ultimo volo, riporlo su appositi supporti fissati alle pareti di uno scantinato dove non può essere raggiunto dalla luce del sole.","lasciarlo ripiegato senza sacca, sistemandolo possibilmente in uno scantinato o in garage dove non può essere raggiunto dalla luce del sole, possibilmente su appositi supporti fissati alle pareti.",1
8016,Se in corrispondenza di qualche elemento costituente il corredo di tiranteria o bulloneria del deltaplano si riscontra presenza di ruggine:,è necessario prima di volare rimuoverla prontamente usando appositi prodotti antiruggine sul particolare interessato.,è possibile comunque intraprendere il volo purché si sia accertata l’integrità del particolare interessato.,"è indispensabile sostituire il particolare in questione con altro idoneo di identiche caratteristiche, prima di intraprendere qualsiasi tipo di volo.",3
8017,Quale norma deve essere rispettata nella manutenzione del paracadute di soccorso?,Mai aprirlo perché si potrebbe commettere un errore nel ripiegarlo.,Aprirlo alle scadenze previste o se bagnato e ripiegarlo sotto la supervisione di persone competenti.,"Aprirlo, farlo asciugare in luogo asciutto e ripiegarlo solo se siamo certi che sia bagnato o inumidito.",2
8018,Riguardo al paracadute di soccorso è necessario accertare prima di ogni volo che:,la maniglia di azionamento sia all’interno della sacca di lancio.,"non sia stato aperto anche solo per ispezione, in quanto la ripiegatura non eseguita dal costruttore non garantisce l’apertura.","la fune di vincolo sia saldamente ancorata, la sacca correttamente posizionata, la maniglia di azionamento sia facilmente raggiungibile ed azionabile.",3
8019,Per quale motivo un paracadute di soccorso che non sia stato sottoposto a periodica ispezione non garantisce sufficiente affidabilità?,Perché il materiale con cui è fabbricato si deteriora rapidamente se non gli si fa prendere aria ogni tanto.,"Perché il materiale con cui è fabbricato può “incollarsi” per effetto del ripiegamento nella sacca, non garantendo una corretta e pronta apertura in caso di bisogno.",Perché la fune di vincolo deve essere verificata ogni tanto in quanto può deteriorarsi con il rischio che si strappi in caso di utilizzo.,2
8020,Il materiale e la tecnologia con cui sono fabbricati i paracadute di soccorso per il volo libero garantiscono totale sicurezza per aperture effettuate:,a qualsiasi velocità di caduta.,a velocità di caduta contenute entro certi limiti indicati dal costruttore.,solo a velocità pari a quelle massime del deltaplano e del parapendio.,2
9001,La sicurezza del volo in deltaplano e parapendio dipende moltissimo dal rapporto esistente tra esperienza del pilota e caratteristiche del mezzo utilizzato?,Si.,Assolutamente no.,"Si, ma solo se si tratta di volo in condizioni forti.",1
9002,La sicurezza del volo in deltaplano e parapendio dipende tra l’altro anche dal rapporto tra l’esperienza del pilota e le condizioni meteo affrontate?,Assolutamente no.,Si.,"Si, ma solo se si tratta di un volo di cross.",2
9003,Ci viene proposto l’acquisto di un’ala omologata alla quale sono state però apportate delle modifiche che ne migliorano le prestazioni. Qual è l’atteggiamento più conservativo da tenere sotto il profilo della sicurezza?,Prendere in considerazione il mezzo ma solo dopo averlo personalmente provato al limite delle prestazioni.,Acquistarlo solo se chi ce lo propone è persona esperta e fidata.,Respingere la proposta orientando esclusivamente le proprie scelte su mezzi provvisti di omologazione ed assolutamente conformi al modello originale.,3
9004,Quando va effettuata la revisione periodica dei mezzi?,Quando si notano reazioni anomale o si sospettano variazioni nelle prestazioni del mezzo.,Ad intervalli definiti dal costruttore perché le caratteristiche dei materiali subiscono variazioni anche solo per invecchiamento.,"Ad intervalli definiti dal costruttore se si vola assiduamente, riducendo la frequenza se si vola meno a patto di conservare l'attrezzatura con cura.",2
9005,Omettere o trascurare i controlli di sicurezza pre-volo:,è senz’altro pericoloso.,è tecnicamente scorretto.,può non essere pericoloso se l’esperienza è molta.,1
9006,"Se avete dei dubbi sulle condizioni meteo in rapporto alla vostra attrezzatura e/o esperienza, pur avendo sentito il parere di un pilota più esperto:",è utile superare ogni indugio ed intraprendere il volo per migliorare le proprie capacità.,è necessario sentire ancora il parere di almeno un altro pilota esperto prima di intraprendere il volo.,è opportuno considerare i propri dubbi come valido e sufficiente motivo per non intraprendere assolutamente il volo.,3
9007,Per quale motivo un pilota di modesta esperienza non dovrebbe volare con un’ala ad alte prestazioni anche se giudicata facile e sicura da piloti più esperti?,Perché le ali ad alte prestazioni sono comunque insicure anche se qualcuno non lo ammette.,"Perché la sicurezza del volo dipende molto dal rapporto esistente tra esperienza del pilota e prestazioni dell’ala, che deve necessariamente essere equilibrato.","Perché comunque non riuscirebbe a sfruttarne le prestazioni, pur volando in sicurezza.",2
9008,"Vi trovate al decollo di un volo che non conoscete. Le condizioni sono forti, ma tutti decollano con successo. Tra i seguenti atteggiamenti che potete tenere quale ritenete sia più conservativo sotto il profilo della sicurezza?",Attendere che le condizioni inizino a ridursi e solo allora intraprendere il volo tenendo presenti i consigli di chi vi è parso più equilibrato ed esperto.,Predisporsi ad intraprendere il volo non prima di aver preso nota dei consigli forniti dagli esperti del luogo.,Predisporsi ad intraprendere il volo imitando il piano di volo e le manovre degli esperti del luogo onde migliorare la propria personale esperienza.,1
9009,Per quale motivo si ritiene pericoloso il decollo in discendenza o con vento in coda?,Solo perché la pendenza della traiettoria di volo risulterà troppo elevata appena staccati da terra.,Per l’eccessiva velocità che il pilota deve sviluppare correndo e per problemi di traiettoria una volta decollati.,Per i problemi di auto stabilità del mezzo che possono insorgere in tali condizioni.,2
9010,Come deve essere valutato il decollo da un dirupo a scalino di circa 90° con deltaplano o parapendio?,Molto pericoloso.,Molto tecnico.,Normale se si ha buona esperienza.,1
9011,"La giornata è umida e le termiche generano velocemente nubi cumuliformi. Entrati in termica, è necessario prestare attenzione al fatto che:",si può scatenare un temporale e potremmo essere colpiti da un fulmine.,l’ascendenza può essere associata a turbolenza che rende poco piacevole il volo.,"l’ascendenza può divenire tanto forte da impedirci di scendere, correndo così il grave rischio di essere trascinati in una nube a carattere temporalesco.",3
9012,Quale maggior pericolo si corre volando in nube?,Avere una collisione con altri apparecchi.,Subire un degrado delle prestazioni a causa di eventuali formazioni di ghiaccio sulla struttura dell’apparecchio.,"Perdere il senso dell’orientamento e il controllo dell’apparecchio, poiché gli organi dell’equilibrio funzionano male in mancanza di riferimenti visivi.",3
9013,"È dimostrato che il wind shear è un fenomeno pericoloso per il volo in generale, ma in particolare per il Volo Libero. Che cosa s’intende per wind shear?",Solo un improvviso aumento dell’intensità del vento nel tempo e/o nello spazio.,Un’improvvisa variazione di direzione e/o d’intensità del vento nel tempo e/o nello spazio.,Un improvviso aumento dell’intensità del vento relativo sull’ala.,2
9014,Rispetto al suolo non avanziamo. Siamo alla presenza di un vento meteorologico contrario la cui velocità è pari alla nostra velocità all’aria. Se di colpo il vento cessasse l’ala:,"risulterebbe, anche se per un tempo brevissimo, senz’altro investita da un vento relativo nullo.",continuerebbe a volare alla velocità all’aria che aveva prima.,non avrebbe comunque problemi di natura aerodinamica.,1
9015,Che cosa s’intende per configurazione inusuale di un deltaplano e di un parapendio?,Una configurazione o una situazione di volo normale per l’ala ma alla quale il pilota non è abituato.,Una configurazione dell’ala o una situazione di volo anomala e al di fuori del normale inviluppo di volo e di manovrabilità previsti.,Una situazione di volo in cui i valori dell’incidenza sono ai limiti dello stallo.,2
9016,Un'ala certificata offre le seguenti garanzie rispetto a un'ala non certificata:,"le reazioni dell'ala certificata sono sempre controllabili e non pericolose, quelle dell'ala non certificata sono pericolose.","le reazioni dell'ala non certificata non sono note, quelle dell'ala certificata sono note (relativamente alle manovre di omologazione).","un'ala certificata è adatta al pilota medio, le ali non certificate sono riservate ai competitori.",2
9017,Ai fini del volo con deltaplano e parapendio è necessario tenere presenti le difficoltà e i rischi connessi ad attività svolta in una valle lunga e stretta perché:,è sempre interessata da forti correnti discensionali.,in essa eventuali brezze o venti sono comunque violente e turbolente particolarmente in corrispondenza del fondo valle.,il fondo di una valle stretta non presenta generalmente aree idonee all’atterraggio a prescindere dal vento esistente.,2
9018,"Se deltaplano e parapendio sono particolarmente soggetti agli effetti negativi del wind shear, come può essere giudicato un atterraggio effettuato sottovento a ostacoli rilevanti in condizione di vento sostenuto?","Fattibile, ma con qualche difficoltà da piloti con poca esperienza.",Molto tecnico e quindi fattibile in sicurezza totale solo da piloti esperti.,Pericoloso in assoluto per qualsiasi pilota per l’imprevedibilità dei fenomeni aerologici associati a questa situazione.,3
9019,"Se in atterraggio il vento è tanto forte da limitare notevolmente la penetrazione, quali soluzioni adottare in avvicinamento?",Effettuare degli “otto” con la tecnica a “granchio” che ci dota comunque di una certa velo- cità al suolo permettendoci di affrontare in sicurezza situazioni di forte gradiente in prossimità del terreno.,"Eseguire comunque un circuito a “C” che elimina la necessità di fare molte virate, senza quindi doverci porre il problema dell’avanzamento rispetto al terreno.",Tentare un avvicinamento a “otto” normale atterrando all’indietro o su una traiettoria verticale se questo è ciò che si ottiene.,1
9020,Il vento è aumentato tanto da impedirci di atterrare normalmente. Ci vediamo costretti a farlo in un bosco. Quale tecnica è bene adottare?,"Atterrare controvento sulla chioma degli alberi, proteggersi il busto e il capo con braccia e mani nella successiva caduta, appena arrestata quest’ultima afferrare saldamente il ramo più vicino.","Atterrare controvento scegliendo di farlo in prossimità del suolo quanto possibile e nello spazio compreso tra due tronchi d’albero, iniziare a raccordare solo all’ultimo momento.","Spiralare sopra un’eventuale radura sino in prossimità del suolo, cercando di atterrare nel suo interno indipendentemente dalla direzione del vento anche a costo di assumere alti angoli di rollio in prossimità del suolo.",1
9021,"Vedendoci costretti a un atterraggio in acqua, quale precauzione è indispensabile adottare?",Solo dopo il contatto con l’acqua sganciarsi e/o fuoriuscire dall’imbrago.,Poco prima dell’impatto predisporre quanto possibile l’imbrago onde ci si possa liberare da esso al più presto a impatto avvenuto.,Atterrare in direzione parallela al moto ondoso.,2
9022,Per quale motivo il pilotaggio in prossimità del suolo deve necessariamente essere più dolce e attento?,"Perché il recupero da configurazioni inusuali in cui ci si venga a trovare intenzionalmente o meno, comporta una perdita di quota che può essere fatale.",Perché vicino al suolo le reazioni dell’ala ai comandi sono più brusche a causa della maggior densità dell’aria.,Perché l’effetto suolo si fa sentire alterando l’auto stabilità del mezzo.,1
9023,Quali conseguenze in volo si possono avere per non aver agganciato i cosciali della selletta del parapendio?,"Una posizione molto scomoda, ma il rischio è minimo se il pettorale è ben agganciato.",Una situazione di gravissimo pericolo quale la fuoriuscita dalla selletta e la caduta.,Una situazione di grave pericolo sempre che non ci si riesca ad aggrappare saldamente al fascio funicolare.,2
9024,Se durante il decollo in parapendio si constata che l’ala non si è gonfiata correttamente è preferibile per motivi di sicurezza:,accelerare la corsa agendo sui comandi per ottenere il corretto gonfiaggio prima dello stacco.,"agire sui freni e interrompere il decollo, tenendo presente che il parapendio offre il vantaggio di una possibile interruzione di decollo senza conseguenze.",proseguire nella manovra di decollo e dopo che esso è avvenuto ripristinare per prima cosa con l’uso dei comandi la configurazione normale dell’ala.,2
9025,Analizzare in anticipo previsioni meteorologiche specifiche per il volo aumenta la sicurezza?,No perché la situazione meteorologica locale può essere valutata solo al momento.,"Si, perché una previsione positiva garantisce un volo sicuro.","Si, perché fornisce informazioni utili a valutare meglio la situazione meteorologica e la sua possibile evoluzione.",3
9026,"Se si va in volo con una “cravatta”, per non esserci accorti durante i controlli che uno o più cordini erano disposti sotto l’estradosso con l’ala stesa al suolo e per non aver controllato l’ala accuratamente dopo il gonfiaggio, che cosa dobbiamo attenderci?",Nulla di significativo a parte un modesto degrado delle prestazioni.,Una tendenza alla rotazione dell’ala che però è sempre possibile compensare con peso e freno.,Una situazione di grave pericolo che va dal ritorno violento al pendio all’impossibilità di recupero della cravatta con buone probabilità che l’ala sia difficilmente controllabile.,3
9027,"Se durante un volo in parapendio si rompe il cordino di un freno, si è in una situazione di emergenza. Come ci si deve comportare?",Pilotare con entrambi gli elevatori posteriori trazionandoli con dolcezza e limitatamente allo stretto indispensabile per arrivare in atterraggio.,Pilotare solo con il freno restante e manovrando meno possibile atterrare immediatamente sul pendio.,Pilotare con l’elevatore posteriore dalla parte del freno inefficiente e con il freno efficiente dall’altra.,1
9028,"E’ vero che la certificazione europea del parapendio garantisce, entro certi limiti, un ottimo livello di sicurezza a patto che siano rispettati il rapporto tra esperienza del pilota e classe di appartenenza dell’ala volata, nonché tutte le norme relative al tipo ed alla regolazione della selletta riportate nella certificazione?","No, è un’affermazione poco attendibile.","Si, ma è vero solo per ali standard.","Si, è vero.",3
9029,E’ corretto affermare dal punto di vista della sicurezza del volo che un’ala certificata in una classe basica garantisce il pilota anche se inesperto in caso di configurazione inusuale?,"Si, indipendentemente da altri fattori.",Assolutamente no.,"Si, ma solo se sono state rispettate le norme relative al tipo e alla regolazione della selletta riportate nella certificazione.",3
9030,"Ai fini della sicurezza del volo, un pilota che si appresta a volare un’ala certificata in una classe non basica deve essere conscio che in caso di configurazione inusuale:",necessita il suo intervento tempestivo e qualificato per tornare a condizioni di normalità senza finire in una grave sequenza di configurazioni inusuali.,può attendersi il ritorno a condizioni di normalità anche se non in 4 secondi.,"necessita il suo intervento sui comandi, che deve essere quello istintivo per ogni situazione.",1
9031,"Configurazioni inusuali del parapendio. Chiusura asimmetrica spontanea, tendenza dell’ala all’autorotazione. Il pilota dovrà in ogni caso prima ristabilire il controllo direzionale dell’ala e solo dopo averlo ristabilito intervenire con il freno dalla parte della chiusura per riaprire l’ala:",errato. E’ fondamentale la riapertura dell’ala che quindi va fatta prima.,corretto. Usando per ristabilire il controllo direzionale prima il peso e poi il freno per evitare lo stallo dovuto all’aumento del carico alare prodotto dalla chiusura.,errato. E’ opportuno cercare prima di riaprire l’ala e se ciò non fosse possibile usare subito il paracadute di soccorso.,2
9032,"Configurazioni inusuali del parapendio. Chiusura frontale del bordo d’attacco, tendenza dell’ala a passare bruscamente dietro al pilota. Il pilota dovrà prima di tutto rilasciare entrambi i freni per poi tenersi pronto a controllare l’abbattimento in avanti dell’ala:","corretto, la riapertura dell’ala se si agisce rilasciando simmetricamente i freni generalmente non è problematica, ma lo possono essere i pendolamenti che ne conseguono.","corretto, anche se i pendolamenti che conseguono alla riapertura dell’ala non costituiscono mai un problema.","errato, è necessario comunque attendere che l’ala si riapra da sola per evitare inutili pendolamenti e se ciò non avviene usare al più presto il paracadute di soccorso.",1
9033,"Configurazioni inusuali del parapendio. La conseguenza di un’eccessiva trazione asimmetrica dei comandi dei freni è lo stallo asimmetrico che induce una brusca e violenta rotazione dell’ala attorno all’asse verticale, detta “vite piatta negativa”. Per prevenire tale configurazione prima che si verifichi il pilota dovrà:",affondare anche l’altro comando per poi rilasciarli entrambi verso l’alto dolcemente.,rilasciare anche di poco il comando troppo affondato abbassando della stessa entità anche l’altro.,"rilasciare prontamente e simmetricamente verso l’alto entrambi i comandi, pronti a intervenire per controllare l’abbattimento dell’ala in avanti se e quando si verifica.",3
9034,Configurazioni inusuali del parapendio. In che cosa consiste il post-stallo di un parapendio e che cosa può accadere se si verifica?,"È la situazione prodotta dal permanere in condizioni di stallo, ma non può avere alcuna conseguenza se si verifica.",È la condizione in cui si trova l’ala dopo una corretta rimessa dallo stallo; le conseguenze dipendono da come la rimessa si verifica.,È la situazione prodotta dal permanere in condizioni di stallo e il conseguente collasso totale dell’ala.,3
9035,"Configurazioni inusuali del parapendio. All’uscita da uno stallo di “B” si constata di avere un tasso di caduta elevatissimo, una velocità di avanzamento quasi nulla con l’ala perfettamente gonfia sulla verticale. Che cosa può essere accaduto?",Si è finiti in stallo paracadutale per aver probabilmente rilasciato le bretelle “B” troppo lentamente verso l’alto e/o perché si sta volando un’ala dal tessuto divenuto poroso.,Si è finiti in stallo paracadutale per aver rilasciato troppo bruscamente le bretelle “B” all’uscita dalla manovra; la porosità dell’ala non ha nulla a che vedere con questa situazione.,"Nulla di significativo, il tasso di caduta elevato è normale all’uscita dallo stallo di “B” e per fortuna l’ala è gonfia sulla verticale.",1
9036,"Configurazioni inusuali del parapendio. Per ottenere al meglio l’uscita da uno stallo paracadutale il pilota dovrà, dopo aver rilasciato prontamente verso l’alto entrambi i freni, agire nell’ordine come segue:","trazionare con decisione una sola delle bretelle anteriori oppure, se ciò non ha effetto, trazionare decisamente uno solo dei freni.","spingere in avanti le bretelle A, utilizzare a fondo l’acceleratore , successivamente se l’assetto persiste affondare i freni simmetricamente e poi rilasciarli, utilizzare in ultima analisi un freno solo affondandolo e rilasciandolo e aspettandosi di uscire in quest’ultimo caso con una violenta virata o in “vite piatta negativa”.","affondare con decisione un freno solo, pompare simmetricamente con i freni, spingere in ultima analisi con decisione in avanti le bretelle anteriori.",2
9037,Decollo in deltaplano con vento sostenuto. L’utilizzo di un assistente che tocchi il delta all’inizio della rincorsa è rischioso perché:,l’assistente può essere trascinato giù dalla rampa o addirittura essere portato in volo.,non tutti gli assistenti danno adeguate garanzie di comportamento anche se ben istruiti dal pilota.,"l’assistente, anche se esperto non può avere la sensibilità rispetto al mezzo che invece ha il pilota e quindi può imprimergli un assetto e una posizione non ottimali.",3
9038,Il mancato o non corretto aggancio del pilota al deltaplano comporta:,gravissime conseguenze sempre.,la necessità di atterrare al più presto.,la necessità di ridurre le manovre allo stretto indispensabile per non precipitare.,1
9039,"Se per avaria strutturale il dispositivo antidrappo non dovesse entrare in funzione quando necessario, una volta innescata la caduta a drappo:","è bene cercare prima di uscirne con l’uso dei comandi e del peso, non c’è fretta per l’uso del paracadute di soccorso.","è bene fare uso immediato del paracadute di soccorso, prima che la velocità verticale sia troppo elevata.","è bene attendere che la velocità di caduta sia molto elevata prima di aprire il paracadute di soccorso, al fine di ottenerne l’immediata apertura.",2
9040,Le sollecitazioni che rendono pericoloso il looping eseguito con il deltaplano sono indotte:,solo dalla velocità che è necessaria assumere prima di iniziare la manovra di cabrata.,solo dalle accelerazioni cui è sottoposto il mezzo durante tutta la manovra.,dalla velocità elevata che è necessario assumere prima di iniziare la manovra di cabrata e dalle accelerazioni cui è sottoposto il deltaplano durante tutta la manovra.,3
9041,Che cosa s’intende per tumbling del deltaplano?,Una brusca rotazione incontrollata attorno all’asse d’imbardata.,Una brusca rotazione incontrollata attorno all’asse trasversale.,Una brusca rotazione incontrollata attorno all’asse longitudinale.,2
9042,"Quali elementi, tra i seguenti, contribuiscono a provocare il tumbling del deltaplano?",Un angolo d’incidenza troppo elevato associato a condizioni di turbolenza.,Una velocità troppo elevata in condizioni di forte turbolenza.,Virate in condizioni di ascendenza.,1
9043,E’ vero che praticando il Volo Libero il pilota deve usare il paracadute di soccorso solo in ultima analisi e cioè quando non è possibile ripristinare altrimenti condizioni di volo nelle quali il mezzo risulti pilotabile sino a un atterraggio sicuro?,"No, questa è una credenza sbagliata perché il paracadute di soccorso va usato sempre e al più presto possibile quando l’ala assume una configurazione inusuale.","Si, tenendo presente che non c’è alcuna fretta nell’utilizzarlo perché non ha limiti per l’apertura.","Si, tenendo presente comunque che dal momento in cui si decide di usarlo è bene farlo al più presto per consentirgli di aprirsi in tempo utile ed entro i suoi limiti strutturali.",3
9044,"Oltre al caso di malore del pilota, in quale di queste situazioni è utile l’apertura del paracadute di emergenza e come deve essere fatta?","In forte turbolenza qualora risulti difficile il controllo del deltaplano o del parapendio, tirando con decisione la maniglia verso l’alto.","In caso ci si trovi all’interno di una corrente ascensionale tanto forte da trascinarci in nube, tirando la maniglia con decisione verso il basso in modo che il paracadute si allontani più possibile dall’ala.","In caso di rottura strutturale non potendo più controllare l’apparecchio o a seguito di configurazione inusuale che si riveli totalmente irrecuperabile con l’uso dei comandi e del peso, tirando con decisione la maniglia in modo che il paracadute si allontani più possibile dall’ala.",3
